日付,店舗名,売上金額,客数
2025-03-28,渋谷店,175064,93
2025-03-29,渋谷店,192061,102
2025-03-30,渋谷店,187171,99
2025-03-31,渋谷店,130999,69
2025-04-01,渋谷店,165173,88
2025-04-02,渋谷店,142443,75
2025-04-03,渋谷店,154682,82
2025-04-04,渋谷店,167257,89
2025-04-05,渋谷店,217403,115
2025-04-06,渋谷店,200513,106
2025-04-07,渋谷店,140821,75
2025-04-08,渋谷店,183664,97
2025-04-09,渋谷店,152634,81
2025-04-10,渋谷店,187235,99
2025-04-11,渋谷店,147582,78
2025-04-12,渋谷店,187734,100
2025-04-13,渋谷店,238735,127
2025-04-14,渋谷店,157254,83
2025-04-15,渋谷店,148418,79
2025-04-16,渋谷店,188608,100
2025-04-17,渋谷店,160744,85
2025-04-18,渋谷店,179062,95
2025-04-19,渋谷店,210841,112
2025-04-20,渋谷店,236787,126
2025-04-21,渋谷店,138388,73
2025-04-22,渋谷店,147540,78
2025-04-23,渋谷店,159279,84
2025-04-24,渋谷店,142678,76
2025-04-25,渋谷店,183460,97
2025-04-26,渋谷店,197285,105
2025-04-27,渋谷店,206500,110
2025-04-28,渋谷店,120623,64
2025-04-29,渋谷店,164459,87
2025-04-30,渋谷店,187267,99
2025-05-01,渋谷店,182971,97
2025-05-02,渋谷店,151382,80
2025-05-03,渋谷店,251224,133
2025-05-04,渋谷店,234501,125
2025-05-05,渋谷店,155275,82
2025-05-06,渋谷店,150699,80
2025-05-07,渋谷店,181788,96
2025-05-08,渋谷店,190280,101
2025-05-09,渋谷店,148032,78
2025-05-10,渋谷店,211655,112
2025-05-11,渋谷店,257812,137
2025-05-12,渋谷店,137414,73
2025-05-13,渋谷店,188556,100
2025-05-14,渋谷店,153164,81
2025-05-15,渋谷店,186729,99
2025-05-16,渋谷店,195337,104
2025-05-17,渋谷店,235146,125
2025-05-18,渋谷店,216059,115
2025-05-19,渋谷店,162297,86
2025-05-20,渋谷店,155991,83
2025-05-21,渋谷店,180276,96
2025-05-22,渋谷店,170888,91
2025-05-23,渋谷店,165264,88
2025-05-24,渋谷店,213568,113
2025-05-25,渋谷店,193351,103
2025-05-26,渋谷店,165706,88
2025-05-27,渋谷店,148113,78
2025-05-28,渋谷店,192198,102
2025-05-29,渋谷店,150643,80
2025-05-30,渋谷店,194657,103
2025-05-31,渋谷店,241490,128
2025-06-01,渋谷店,198077,105
2025-06-02,渋谷店,122995,65
2025-06-03,渋谷店,134451,71
2025-06-04,渋谷店,147526,78
2025-06-05,渋谷店,135867,72
2025-06-06,渋谷店,149487,79
2025-06-07,渋谷店,196330,104
2025-06-08,渋谷店,181907,97
2025-06-09,渋谷店,144931,77
2025-06-10,渋谷店,148695,79
2025-06-11,渋谷店,147821,78
2025-06-12,渋谷店,131022,69
2025-06-13,渋谷店,150325,80
2025-06-14,渋谷店,203156,108
2025-06-15,渋谷店,171423,91
2025-06-16,渋谷店,137972,73
2025-06-17,渋谷店,135402,72
2025-06-18,渋谷店,168510,89
2025-06-19,渋谷店,153577,81
2025-06-20,渋谷店,147248,78
2025-06-21,渋谷店,175431,93
2025-06-22,渋谷店,193166,103
2025-06-23,渋谷店,132855,70
2025-06-24,渋谷店,139420,74
2025-06-25,渋谷店,167077,89
2025-06-26,渋谷店,129157,68
2025-06-27,渋谷店,170407,90
2025-06-28,渋谷店,185952,99
2025-06-29,渋谷店,194300,103
2025-06-30,渋谷店,143858,76
2025-07-01,渋谷店,142265,75
2025-07-02,渋谷店,147162,78
2025-07-03,渋谷店,143174,76
2025-07-04,渋谷店,165443,88
2025-07-05,渋谷店,205068,109
2025-07-06,渋谷店,189214,100
2025-07-07,渋谷店,150613,80
2025-07-08,渋谷店,170951,91
2025-07-09,渋谷店,167065,89
2025-07-10,渋谷店,163192,87
2025-07-11,渋谷店,148280,79
2025-07-12,渋谷店,205552,109
2025-07-13,渋谷店,186810,99
2025-07-14,渋谷店,119137,63
2025-07-15,渋谷店,145695,77
2025-07-16,渋谷店,171469,91
2025-07-17,渋谷店,134742,71
2025-07-18,渋谷店,144447,77
2025-07-19,渋谷店,224033,119
2025-07-20,渋谷店,234017,124
2025-07-21,渋谷店,122735,65
2025-07-22,渋谷店,143242,76
2025-07-23,渋谷店,160948,85
2025-07-24,渋谷店,149946,79
2025-07-25,渋谷店,146302,78
2025-07-26,渋谷店,186484,99
2025-07-27,渋谷店,224685,119
2025-07-28,渋谷店,126157,67
2025-07-29,渋谷店,146713,78
2025-07-30,渋谷店,177941,94
2025-07-31,渋谷店,169052,90
2025-08-01,渋谷店,145833,77
2025-08-02,渋谷店,157670,84
2025-08-03,渋谷店,202725,108
2025-08-04,渋谷店,131938,70
2025-08-05,渋谷店,134163,71
2025-08-06,渋谷店,157747,84
2025-08-07,渋谷店,145806,77
2025-08-08,渋谷店,148560,79
2025-08-09,渋谷店,157863,84
2025-08-10,渋谷店,158476,84
2025-08-11,渋谷店,112118,59
2025-08-12,渋谷店,158984,84
2025-08-13,渋谷店,156569,83
2025-08-14,渋谷店,162865,86
2025-08-15,渋谷店,122198,65
2025-08-16,渋谷店,170401,90
2025-08-17,渋谷店,207438,110
2025-08-18,渋谷店,135942,72
2025-08-19,渋谷店,130215,69
2025-08-20,渋谷店,152311,81
2025-08-21,渋谷店,151016,80
2025-08-22,渋谷店,138405,73
2025-08-23,渋谷店,190788,101
2025-08-24,渋谷店,198963,106
2025-08-25,渋谷店,112879,60
2025-08-26,渋谷店,127983,68
2025-08-27,渋谷店,134357,71
2025-08-28,渋谷店,130021,69
2025-08-29,渋谷店,145412,77
2025-08-30,渋谷店,167172,89
2025-08-31,渋谷店,182932,97
2025-09-01,渋谷店,119600,63
2025-09-02,渋谷店,150034,80
2025-09-03,渋谷店,142014,75
2025-09-04,渋谷店,160127,85
2025-09-05,渋谷店,160057,85
2025-09-06,渋谷店,215747,115
2025-09-07,渋谷店,217094,115
2025-09-08,渋谷店,125854,67
2025-09-09,渋谷店,172718,92
2025-09-10,渋谷店,170832,91
2025-09-11,渋谷店,141674,75
2025-09-12,渋谷店,139942,74
2025-09-13,渋谷店,175781,93
2025-09-14,渋谷店,200184,106
2025-09-15,渋谷店,120339,64
2025-09-16,渋谷店,162257,86
2025-09-17,渋谷店,165868,88
2025-09-18,渋谷店,140894,75
2025-09-19,渋谷店,176957,94
2025-09-20,渋谷店,202954,108
2025-09-21,渋谷店,206823,110
2025-09-22,渋谷店,146303,78
2025-09-23,渋谷店,169461,90
2025-09-24,渋谷店,134750,71
2025-09-25,渋谷店,178314,95
2025-09-26,渋谷店,164309,87
2025-09-27,渋谷店,202991,108
2025-09-28,渋谷店,231885,123
2025-09-29,渋谷店,135624,72
2025-09-30,渋谷店,171393,91
2025-10-01,渋谷店,174795,93
2025-10-02,渋谷店,167581,89
2025-10-03,渋谷店,166266,88
2025-10-04,渋谷店,219519,117
2025-10-05,渋谷店,236667,126
2025-10-06,渋谷店,121511,64
2025-10-07,渋谷店,142949,76
2025-10-08,渋谷店,144609,77
2025-10-09,渋谷店,161397,86
2025-10-10,渋谷店,177433,94
2025-10-11,渋谷店,187424,99
2025-10-12,渋谷店,198800,106
2025-10-13,渋谷店,156140,83
2025-10-14,渋谷店,187510,100
2025-10-15,渋谷店,161205,85
2025-10-16,渋谷店,141922,75
2025-10-17,渋谷店,166491,88
2025-10-18,渋谷店,220106,117
2025-10-19,渋谷店,245492,130
2025-10-20,渋谷店,127414,67
2025-10-21,渋谷店,189477,101
2025-10-22,渋谷店,144466,77
2025-10-23,渋谷店,188369,100
2025-10-24,渋谷店,179792,95
2025-10-25,渋谷店,202910,108
2025-10-26,渋谷店,212312,113
2025-10-27,渋谷店,148217,79
2025-10-28,渋谷店,188516,100
2025-10-29,渋谷店,178540,95
2025-10-30,渋谷店,147778,78
2025-10-31,渋谷店,169856,90
2025-11-01,渋谷店,236732,126
2025-11-02,渋谷店,235497,125
2025-11-03,渋谷店,132563,70
2025-11-04,渋谷店,162140,86
2025-11-05,渋谷店,188871,100
2025-11-06,渋谷店,180231,96
2025-11-07,渋谷店,163027,86
2025-11-08,渋谷店,200655,107
2025-11-09,渋谷店,248494,132
2025-11-10,渋谷店,156801,83
2025-11-11,渋谷店,165537,88
2025-11-12,渋谷店,152594,81
2025-11-13,渋谷店,193379,103
2025-11-14,渋谷店,153149,81
2025-11-15,渋谷店,250477,133
2025-11-16,渋谷店,212791,113
2025-11-17,渋谷店,140589,74
2025-11-18,渋谷店,194765,103
2025-11-19,渋谷店,175590,93
2025-11-20,渋谷店,180034,96
2025-11-21,渋谷店,148682,79
2025-11-22,渋谷店,218891,116
2025-11-23,渋谷店,219254,116
2025-11-24,渋谷店,150388,80
2025-11-25,渋谷店,197558,105
2025-11-26,渋谷店,168185,89
2025-11-27,渋谷店,196417,104
2025-11-28,渋谷店,172950,92
2025-11-29,渋谷店,237071,126
2025-11-30,渋谷店,243881,130
2025-12-01,渋谷店,152874,81
2025-12-02,渋谷店,227689,121
2025-12-03,渋谷店,188189,100
2025-12-04,渋谷店,176198,93
2025-12-05,渋谷店,186309,99
2025-12-06,渋谷店,299829,159
2025-12-07,渋谷店,236872,126
2025-12-08,渋谷店,172175,91
2025-12-09,渋谷店,228985,122
2025-12-10,渋谷店,184987,98
2025-12-11,渋谷店,185860,99
2025-12-12,渋谷店,215253,114
2025-12-13,渋谷店,283567,151
2025-12-14,渋谷店,302562,161
2025-12-15,渋谷店,196401,104
2025-12-16,渋谷店,204257,108
2025-12-17,渋谷店,189468,101
2025-12-18,渋谷店,223740,119
2025-12-19,渋谷店,175273,93
2025-12-20,渋谷店,230817,123
2025-12-21,渋谷店,238386,127
2025-12-22,渋谷店,152582,81
2025-12-23,渋谷店,187154,99
2025-12-24,渋谷店,202629,108
2025-12-25,渋谷店,184637,98
2025-12-26,渋谷店,189665,101
2025-12-27,渋谷店,241484,128
2025-12-28,渋谷店,281607,150
2025-12-29,渋谷店,177589,94
2025-12-30,渋谷店,195197,104
2025-12-31,渋谷店,182490,97
