日付,店舗名,売上金額,客数
2025-08-30,池袋店,161089,87
2025-08-31,池袋店,131626,71
2025-09-01,池袋店,93484,50
2025-09-02,池袋店,115575,62
2025-09-03,池袋店,126683,68
2025-09-04,池袋店,137888,74
2025-09-05,池袋店,142714,77
2025-09-06,池袋店,174445,94
2025-09-07,池袋店,168272,91
2025-09-08,池袋店,111841,60
2025-09-09,池袋店,116465,63
2025-09-10,池袋店,108039,58
2025-09-11,池袋店,111435,60
2025-09-12,池袋店,128198,69
2025-09-13,池袋店,169729,91
2025-09-14,池袋店,141032,76
2025-09-15,池袋店,93118,50
2025-09-16,池袋店,110805,60
2025-09-17,池袋店,108488,58
2025-09-18,池袋店,135084,73
2025-09-19,池袋店,127052,68
2025-09-20,池袋店,153819,83
2025-09-21,池袋店,175531,95
2025-09-22,池袋店,106071,57
2025-09-23,池袋店,112020,60
2025-09-24,池袋店,114685,62
2025-09-25,池袋店,125361,67
2025-09-26,池袋店,136097,73
2025-09-27,池袋店,186754,101
2025-09-28,池袋店,146722,79
2025-09-29,池袋店,101355,54
2025-09-30,池袋店,111334,60
2025-10-01,池袋店,139347,75
2025-10-02,池袋店,132063,71
2025-10-03,池袋店,118178,64
2025-10-04,池袋店,153326,83
2025-10-05,池袋店,158429,85
2025-10-06,池袋店,101314,54
2025-10-07,池袋店,122657,66
2025-10-08,池袋店,135544,73
2025-10-09,池袋店,118126,63
2025-10-10,池袋店,134150,72
2025-10-11,池袋店,179825,97
2025-10-12,池袋店,146626,79
2025-10-13,池袋店,115969,62
2025-10-14,池袋店,147678,79
2025-10-15,池袋店,130909,70
2025-10-16,池袋店,134579,72
2025-10-17,池袋店,133615,72
2025-10-18,池袋店,192757,104
2025-10-19,池袋店,181655,98
2025-10-20,池袋店,100396,54
2025-10-21,池袋店,150008,81
2025-10-22,池袋店,142294,77
2025-10-23,池袋店,134968,73
2025-10-24,池袋店,149927,81
2025-10-25,池袋店,174458,94
2025-10-26,池袋店,169612,91
2025-10-27,池袋店,110506,59
2025-10-28,池袋店,131639,71
2025-10-29,池袋店,123743,67
2025-10-30,池袋店,120600,65
2025-10-31,池袋店,134461,72
2025-11-01,池袋店,186265,100
2025-11-02,池袋店,205057,111
2025-11-03,池袋店,103146,55
2025-11-04,池袋店,125176,67
2025-11-05,池袋店,125816,68
2025-11-06,池袋店,137029,74
2025-11-07,池袋店,135222,73
2025-11-08,池袋店,176880,95
2025-11-09,池袋店,165162,89
2025-11-10,池袋店,124729,67
2025-11-11,池袋店,148262,80
2025-11-12,池袋店,130713,70
2025-11-13,池袋店,124051,67
2025-11-14,池袋店,128801,69
2025-11-15,池袋店,200801,108
2025-11-16,池袋店,178919,96
2025-11-17,池袋店,124127,67
2025-11-18,池袋店,141736,76
2025-11-19,池袋店,117943,63
2025-11-20,池袋店,153941,83
2025-11-21,池袋店,125424,67
2025-11-22,池袋店,156959,85
2025-11-23,池袋店,164722,89
2025-11-24,池袋店,124345,67
2025-11-25,池袋店,156402,84
2025-11-26,池袋店,134634,72
2025-11-27,池袋店,121892,66
2025-11-28,池袋店,153713,83
2025-11-29,池袋店,153812,83
2025-11-30,池袋店,201693,109
2025-12-01,池袋店,133844,72
2025-12-02,池袋店,184441,99
2025-12-03,池袋店,155965,84
2025-12-04,池袋店,173947,94
2025-12-05,池袋店,187868,101
2025-12-06,池袋店,201894,109
2025-12-07,池袋店,209204,113
2025-12-08,池袋店,121743,65
2025-12-09,池袋店,145342,78
2025-12-10,池袋店,146955,79
2025-12-11,池袋店,152582,82
2025-12-12,池袋店,183333,99
2025-12-13,池袋店,223566,121
2025-12-14,池袋店,243433,131
2025-12-15,池袋店,155971,84
2025-12-16,池袋店,157710,85
2025-12-17,池袋店,169979,92
2025-12-18,池袋店,159511,86
2025-12-19,池袋店,159469,86
2025-12-20,池袋店,215396,116
2025-12-21,池袋店,239485,129
2025-12-22,池袋店,129066,69
2025-12-23,池袋店,151767,82
2025-12-24,池袋店,139668,75
2025-12-25,池袋店,165505,89
2025-12-26,池袋店,162139,87
2025-12-27,池袋店,202211,109
2025-12-28,池袋店,202947,109
2025-12-29,池袋店,123330,66
2025-12-30,池袋店,143552,77
2025-12-31,池袋店,142549,77
